BRAND,BRAND NAME
0,Castle Lager
1,south africa brands
2,castle milk stout
3,carling black label
4,castle lager
5,Flying Fish
6,Corona
7,Corona
9,abi_brand
10,Castle Lite
11,abi_brand
12,flying fish
13,Corona
15,carling black label
16,Corona
17,africa brands
18,castle milk stout
19,Castle Lager Double Malt
20,africa brands
21,castle milk stout
22,castle lite
23,castle milk stout
24,Castle Lager
25,Flying Fish
26,Stella Artois
27,Corona
29,budweiser
30,Brutal Fruit
31,castle milk stout
33,Castle Lite
34,Castle Lager Double Malt
35,Corona
36,Castle Lager
37,castle milk stout
38,castle milk stout
39,castle lite
40,Corona
41,abi_brand
42,Castle Lite
43,Corona
44,Castle Lager Double Malt
45,Corona
46,africa brands
47,africa brands
48,castle milk stout
49,Castle Lite
50,Flying Fish Seltzer
51,Castle Lite
52,Castle Lite
53,castle milk stout
54,Budweiser
55,corona
56,carling black label
57,Corona
58,budweiser
59,Castle Lite
61,Flying Fish
62,south africa brands
63,corona
64,flying fish
65,flying fish
66,sab corporate
68,Castle Lite
